USBlyzer Report

Capture List

Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
URB,0092-0091,21:05:16.750,9.900788 s,1.299 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0093-0090,21:05:16.765,9.915847 s,18.727 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0094,21:05:16.765,9.915853 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0095,21:05:16.765,9.916096 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 02 4D D8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 02 4D D8
URB,0096-0095,21:05:16.765,9.917837 s,1.741 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0097-0094,21:05:16.781,9.935856 s,20.003 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0098,21:05:16.781,9.935861 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0099,21:05:16.781,9.935935 s,,Bulk or Interrupt Transfer,12 bytes data,01 0C 00 11 02 00 00 00...,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 0C 00 11 02 00 00 00 00 01 2E CE
URB,0100-0099,21:05:16.781,9.939051 s,3.116 ms,Bulk or Interrupt Transfer,12 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0101-0098,21:05:16.796,9.961164 s,25.303 ms,Bulk or Interrupt Transfer,534 bytes data,01 16 02 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 16 02 01 00 00 00 00 01 00 00 00 02 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 79 8D 7D F6 89 07 FD 85 89 07 3C 50 43 50 61 72 61 6D 65 74 65 72 52 65 63 6F 72 64 20 52 65 63 65 69 76 65 72 49 64 3D 22 7B 45 35 37 39 45 42 33 32 2D 32 31 34 31 2D 34 42 45 34 2D 38 31 44 43 2D 34 33 34 31 32 44 33 37 30 36 45 38 7D 22 20 46 69 72 6D 77 61 72 65 49 6D 61 67 65 49 64 3D 22 22 20 44 61 74 65 54 69 6D 65 43 72 65 61 74 65 64 3D 22 32 30 31 33 2D 30 31 2D 30 33 20 31 33 3A 35 34 3A 30 35 2E 37 32 33 20 2D 30 38 3A 30 30 22 20 4E 69 63 6B 6E 61 6D 65 3D 22 73 6D 33 30 31 34 30 37 35 32 22 20 2F 3E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
URB,0102,21:05:16.796,9.961170 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0103,21:05:16.812,9.965231 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 36 81 92,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 36 81 92
URB,0104-0103,21:05:16.812,9.966854 s,1.623 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0105-0102,21:05:16.968,10.123864 s,162.694 ms,Bulk or Interrupt Transfer,45 bytes data,01 2D 00 01 3C 46 69 72...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 2D 00 01 3C 46 69 72 6D 77 61 72 65 53 65 74 74 69 6E 67 73 20 46 69 72 6D 77 61 72 65 49 6D 61 67 65 49 64 3D 22 22 20 2F 3E 85 20
URB,0106,21:05:16.968,10.123872 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0107,21:05:16.968,10.126774 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 22 34 C0,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 22 34 C0
URB,0108-0107,21:05:16.968,10.127849 s,1.075 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0109-0106,21:05:16.984,10.138853 s,14.980 ms,Bulk or Interrupt Transfer,10 bytes data,01 0A 00 01 1A 87 D6 08...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0A 00 01 1A 87 D6 08 83 ED
URB,0110,21:05:16.984,10.138862 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0111,21:05:16.984,10.139871 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 1D 88 07,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 1D 88 07
URB,0112-0111,21:05:16.984,10.141876 s,2.005 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0113-0110,21:05:17.000,10.154911 s,16.049 ms,Bulk or Interrupt Transfer,10 bytes data,01 0A 00 01 B7 9D FF FF...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0A 00 01 B7 9D FF FF 57 99
URB,0114,21:05:17.000,10.154919 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0115,21:05:17.000,10.157131 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 23 15 D0,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 23 15 D0
URB,0116-0115,21:05:17.000,10.157858 s,727 us,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0117-0114,21:05:17.019,10.169873 s,14.954 ms,Bulk or Interrupt Transfer,10 bytes data,01 0A 00 01 2C BE 89 07...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0A 00 01 2C BE 89 07 A9 52
URB,0118,21:05:17.019,10.169881 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0119,21:05:17.020,10.171474 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 1F CA 27,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 1F CA 27
URB,0120-0119,21:05:17.022,10.172882 s,1.408 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0121-0118,21:05:17.035,10.185860 s,15.979 ms,Bulk or Interrupt Transfer,10 bytes data,01 0A 00 01 EE C8 4C 01...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0A 00 01 EE C8 4C 01 AA EF
URB,0122,21:05:17.035,10.185866 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0123,21:05:17.036,10.186887 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 19 0C 47,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 19 0C 47
URB,0124-0123,21:05:17.038,10.188989 s,2.102 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0125-0122,21:05:17.052,10.202895 s,17.028 ms,Bulk or Interrupt Transfer,11 bytes data,01 0B 00 01 36 30 48 4D...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0B 00 01 36 30 48 4D 57 20 70
URB,0126,21:05:17.052,10.202902 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0127,21:05:17.053,10.204028 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 1B 4E 67,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 1B 4E 67
URB,0128-0127,21:05:17.055,10.205960 s,1.932 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0129-0126,21:05:17.066,10.216866 s,13.964 ms,Bulk or Interrupt Transfer,8 bytes data,01 08 00 01 09 04 A1 8A,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 08 00 01 09 04 A1 8A
URB,0130,21:05:17.066,10.216873 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0131,21:05:17.066,10.217925 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 25 D3 B0,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 25 D3 B0
URB,0132-0131,21:05:17.069,10.219854 s,1.929 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0133-0130,21:05:17.082,10.232901 s,16.028 ms,Bulk or Interrupt Transfer,7 bytes data,01 07 00 01 01 6C D8,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 07 00 01 01 6C D8
URB,0134,21:05:17.082,10.232910 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0135,21:05:17.083,10.233568 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 27 91 90,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 27 91 90
URB,0136-0135,21:05:17.083,10.234894 s,1.326 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0137-0134,21:05:17.097,10.247899 s,14.990 ms,Bulk or Interrupt Transfer,7 bytes data,01 07 00 01 00 4D C8,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 07 00 01 00 4D C8
URB,0138,21:05:17.097,10.247908 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0139,21:05:17.097,10.248948 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 29 5F 71,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 29 5F 71
URB,0140-0139,21:05:17.100,10.250891 s,1.943 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0141-0138,21:05:17.113,10.263986 s,16.078 ms,Bulk or Interrupt Transfer,7 bytes data,01 07 00 01 01 6C D8,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 07 00 01 01 6C D8
URB,0142,21:05:17.113,10.263994 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0143,21:05:17.114,10.265057 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 2B 1D 51,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 2B 1D 51
URB,0144-0143,21:05:17.116,10.266949 s,1.892 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0145-0142,21:05:17.128,10.279049 s,15.055 ms,Bulk or Interrupt Transfer,7 bytes data,01 07 00 01 00 4D C8,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 07 00 01 00 4D C8
URB,0146,21:05:17.128,10.279056 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0147,21:05:17.129,10.280646 s,,Bulk or Interrupt Transfer,10 bytes data,01 0A 00 33 F8 04 00 00...,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 0A 00 33 F8 04 00 00 EF 90
URB,0148-0147,21:05:17.131,10.282216 s,1.570 ms,Bulk or Interrupt Transfer,10 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0149-0146,21:05:17.148,10.298962 s,19.907 ms,Bulk or Interrupt Transfer,534 bytes data,01 16 02 01 FF FF FF FF...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 16 02 01 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
URB,0150,21:05:17.148,10.298971 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0151,21:05:17.152,10.302675 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 0F FB 35,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 0F FB 35
URB,0152-0151,21:05:17.153,10.303904 s,1.229 ms,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0153-0150,21:05:17.242,10.393109 s,94.138 ms,Bulk or Interrupt Transfer,1110 bytes data,01 56 04 01 3C 50 61 72...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 56 04 01 3C 50 61 72 74 69 74 69 6F 6E 49 6E 66 6F 20 53 63 68 65 6D 61 56 65 72 73 69 6F 6E 3D 27 31 27 20 50 61 67 65 48 65 61 64 65 72 56 65 72 73 69 6F 6E 3D 27 31 27 20 50 61 67 65 44 61 74 61 4C 65 6E 67 74 68 3D 27 35 30 30 27 3E 3C 50 61 72 74 69 74 69 6F 6E 20 4E 61 6D 65 3D 27 4D 61 6E 75 66 61 63 74 75 72 69 6E 67 44 61 74 61 27 20 49 64 3D 27 30 27 20 52 65 63 6F 72 64 52 65 76 69 73 69 6F 6E 3D 27 31 27 20 52 65 63 6F 72 64 4C 65 6E 67 74 68 3D 27 35 30 30 27 2F 3E 3C 50 61 72 74 69 74 69 6F 6E 20 4E 61 6D 65 3D 27 46 69 72 6D 77 61 72 65 50 61 72 61 6D 65 74 65 72 44 61 74 61 27 20 49 64 3D 27 31 27 20 52 65 63 6F 72 64 52 65 76 69 73 69 6F 6E 3D 27 31 27 20 52 65 63 6F 72 64 4C 65 6E 67 74 68 3D 27 35 30 30 27 2F 3E 3C 50 61 72 74 69 74 69
URB,0154,21:05:17.242,10.393119 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0155,21:05:17.244,10.395226 s,,Bulk or Interrupt Transfer,6 bytes data,01 06 00 0F FB 35,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 06 00 0F FB 35
URB,0156-0155,21:05:17.245,10.395906 s,679 us,Bulk or Interrupt Transfer,6 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0157-0154,21:05:17.336,10.487313 s,94.194 ms,Bulk or Interrupt Transfer,1110 bytes data,01 56 04 01 3C 50 61 72...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 56 04 01 3C 50 61 72 74 69 74 69 6F 6E 49 6E 66 6F 20 53 63 68 65 6D 61 56 65 72 73 69 6F 6E 3D 27 31 27 20 50 61 67 65 48 65 61 64 65 72 56 65 72 73 69 6F 6E 3D 27 31 27 20 50 61 67 65 44 61 74 61 4C 65 6E 67 74 68 3D 27 35 30 30 27 3E 3C 50 61 72 74 69 74 69 6F 6E 20 4E 61 6D 65 3D 27 4D 61 6E 75 66 61 63 74 75 72 69 6E 67 44 61 74 61 27 20 49 64 3D 27 30 27 20 52 65 63 6F 72 64 52 65 76 69 73 69 6F 6E 3D 27 31 27 20 52 65 63 6F 72 64 4C 65 6E 67 74 68 3D 27 35 30 30 27 2F 3E 3C 50 61 72 74 69 74 69 6F 6E 20 4E 61 6D 65 3D 27 46 69 72 6D 77 61 72 65 50 61 72 61 6D 65 74 65 72 44 61 74 61 27 20 49 64 3D 27 31 27 20 52 65 63 6F 72 64 52 65 76 69 73 69 6F 6E 3D 27 31 27 20 52 65 63 6F 72 64 4C 65 6E 67 74 68 3D 27 35 30 30 27 2F 3E 3C 50 61 72 74 69 74 69
URB,0158,21:05:17.336,10.487323 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0159,21:05:17.339,10.489924 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 00 0F F8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 00 0F F8
URB,0160-0159,21:05:17.340,10.491010 s,1.086 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0161-0158,21:05:17.354,10.505034 s,17.710 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0162,21:05:17.354,10.505043 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0163,21:05:17.354,10.505239 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 01 2E E8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 01 2E E8
URB,0164-0163,21:05:17.357,10.507998 s,2.759 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0165-0162,21:05:17.375,10.525153 s,20.111 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0166,21:05:17.375,10.525163 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0167,21:05:17.375,10.525427 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 02 4D D8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 02 4D D8
URB,0168-0167,21:05:17.377,10.527981 s,2.553 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0169-0166,21:05:17.394,10.545061 s,19.898 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0170,21:05:17.394,10.545068 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0171,21:05:17.394,10.545259 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 03 6C C8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 03 6C C8
URB,0172-0171,21:05:17.397,10.548055 s,2.796 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0173-0170,21:05:17.414,10.564988 s,19.919 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 33 07 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 33 07 00 00 8D 08 00 00 DE 61
URB,0174,21:05:17.414,10.564995 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0175,21:05:17.423,10.574128 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 04 8B B8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 04 8B B8
URB,0176-0175,21:05:17.424,10.574995 s,867 us,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0177-0174,21:05:17.434,10.585036 s,20.041 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 D3 04 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 D3 04 00 00 B9 05 00 00 2C 6D
URB,0178,21:05:17.434,10.585044 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0179,21:05:17.434,10.585202 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 05 AA A8,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 05 AA A8
URB,0180-0179,21:05:17.437,10.587979 s,2.777 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0181-0178,21:05:17.455,10.605131 s,20.087 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 7F 02 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 7F 02 00 00 9B 02 00 00 E1 04
URB,0182,21:05:17.455,10.605165 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0183,21:05:17.455,10.605845 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 06 C9 98,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 06 C9 98
URB,0184-0183,21:05:17.458,10.608003 s,2.158 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
URB,0185-0182,21:05:17.474,10.625124 s,19.960 ms,Bulk or Interrupt Transfer,14 bytes data,01 0E 00 01 00 00 00 00...,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,Success (Success),01 0E 00 01 00 00 00 00 00 00 00 00 2C BB
URB,0186,21:05:17.474,10.625134 s,,Bulk or Interrupt Transfer,4096 bytes buffer,,in,01:01:83,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA800455B010h,
URB,0187,21:05:17.474,10.625353 s,,Bulk or Interrupt Transfer,7 bytes data,01 07 00 10 07 E8 88,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,,01 07 00 10 07 E8 88
URB,0188-0187,21:05:17.477,10.628113 s,2.760 ms,Bulk or Interrupt Transfer,7 bytes buffer,,out,01:01:02,FFFFFA8004ED9060h,USBPDO-9,usbhub,FFFFFA80063E4AB0h,Success (Success)
